ID,firstName,middleName,firstLastName,secondLastName,address,phoneNumber
482474871,Camila,JULIAN,Rojas,PINILLA,Calle 33 #58-98, Ibague,3195089025
616498794
614285004,Natalia,Mateo,Martinez,Alvarado,Calle 8 #23-88, Cali,NULL
39593570,Maria,julian,Ortega,Diaz,Calle 77 #38-60, Medellin,3736247015
999773702,Daniel,Eduardo,Ramirez,hernandez,Calle 79 #23-32, Santa Marta,3169549948
837829230,Daniel,   Emilio   ,Hernandez,Gutierrez,Calle 1 #16-4, Manizales,3754434370
520575671,Paula,,Morales,Muñoz,Calle 106 #72-85, Bogota,3731233027
92985860,CAMILA,NULL,Lopez,Gomez,Calle 96 #39-30, Bucaramanga,3950590660
552334425,   Jorge   ,null,Ramirez,Diaz,Calle 119 #36-62, Santa Marta,3001926967
522948840,   Daniela   ,Patricia,   Gomez   ,Pinilla,calle 46 #41-90, pereira,3557000010
453151764
1021053671,Daniela,Eduardo,Morales,Gonzalez,Calle 32 #92-19, Medellin,3099925194
493865671,Sofia,Gabriela,Torres,Ramirez,Calle 6 #40-96, Cartagena,   3381334682   
48471058,NULL,Fernando,Hernandez,Silva,NULL,3617244842
269875234,Daniela,Antonio,Ramirez,null,Calle 118 #6-69, Barranquilla,3908773068
211474377,Carlos,Fernanda,   Ramirez   ,Lopez,Calle 16 #61-16, Bogota,3517514376
579718406,David,Patricia,Garcia,Rojas,Calle 107 #71-42, Barranquilla,3781725769
631827288,Andres,Fernanda,Garcia,Martinez,Calle 7 #7-90, Bucaramanga,3198588100
107909648,Carolina,Fernando,,Garcia
815858729,Daniela,Gabriela,Lopez,Alvarado,   Calle 54 #19-41, Bogota   ,   3841474665   
764057179,Andres,Emilio,,Perez,Calle 53 #63-16, Pereira,3564001589
108561850,Sofia,julian,Rojas,Muñoz,calle 63 #74-65, barranquilla,3457259690
97624780,   Santiago   ,Eduardo,Gomez,Gomez,,3253056944
112523080,David,NULL,,Alvarado,Calle 95 #97-68, Medellin,3981310777
10970259,NULL,,Ramirez,null,Calle 29 #13-6, Manizales,3065156901
293516537,Sebastian,Alejandro,Ramirez,   Alvarado   ,Calle 20 #93-3, Ibague,3119099842
203216632,   Sebastian   ,Fernando,Silva,Martinez,Calle 97 #91-97, Medellin,3054086256
154977189,Maria,Felipe,,Ramirez,Calle 41 #74-69, Barranquilla,3956455127
951939392,,NULL,Navarro,Jimenez,Calle 105 #46-85, Cali,3624850031
686478808,Juan,Isabel,   Rodriguez   ,,Calle 107 #75-81, Pereira,3047527737
1025628125,null,Fernanda,Navarro,Vargas,Calle 73 #65-72, Pereira,3127484220
653328757,Sebastian,,Silva,Pinilla,Calle 76 #46-23, Santa Marta,3211418233
258649477,Ana,   Julian   ,Hernandez,Hernandez,Calle 102 #84-98, Cali,3748310887
619478134,Juan,ALEJANDRO,   Morales   ,Pinilla,Calle 112 #23-84, Bogota,3061419849
1016725699,Juan,Alejandro,garcia,Silva,Calle 40 #16-59, Manizales,
974609164,Luis,   Felipe   ,Rojas,null,null,3701433366
559347518,David,Julian,Lopez,NULL,Calle 80 #29-54, Manizales,3904870946
552209165,Camila,Eduardo,,Hernandez,Calle 14 #26-40, Barranquilla,null
282903690,Jorge,,Martinez,Vargas,Calle 82 #73-18, Cali,3880568937
859541261,Sebastian,null,   Garcia   ,Silva,,3335295209
576223240,Natalia,Alejandro,Castro,diaz,Calle 13 #59-36, Barranquilla,3784246505
44056146,Laura,Alejandro,Vargas,diaz,Calle 119 #32-63, Cali,
1087130964,Santiago,Eduardo,Vargas,rojas,Calle 71 #46-97, Medellin,   3116818314   
385783837,Maria,Lucia,Martinez,Ramirez,null,null
338281165,Andres,NULL,Gonzalez,Gutierrez,Calle 31 #49-29, Cartagena,3087506820
906440403,Daniel,Patricia,NULL,Castro,Calle 82 #32-56, Cartagena,3241459096
998272040,Paula,Emilio,,Rojas,Calle 27 #66-32, Ibague,3751361454
71846569,   Miguel   ,Isabel,Vargas,Pinilla,Calle 71 #91-34, Medellin,3590878397
1038352866,Santiago,,   Garcia   ,Pinilla,   Calle 57 #54-31, Barranquilla   ,3023561232
1086667318,Maria,Alejandro,Martinez,Hernandez
88684344,NULL,Antonio,Silva,Morales,Calle 44 #78-58, Pereira,   3788491184   
1042741844,   Sebastian   ,Fernando,,Torres,Calle 100 #60-15, Bucaramanga,3992548807
634477016,Camila,Felipe,Ramirez,pinilla,Calle 44 #9-35, Manizales,3303509108
422247141,Camila,Julian,Gomez,Martinez,Calle 26 #54-46, Pereira,3641434838
1032647904,Laura,Lucia,Vargas,Ortiz,Calle 5 #32-4, Ibague,3404261827
31516681,Juan,,Rojas,Perez,Calle 63 #9-51, Manizales,3929381873
302067216,Ana,null,Perez,Castro,NULL,3914866932
842468563,Maria,null,Martinez,Diaz,null,3410335829
915025075,Andres,NULL,Vargas,Lopez,Calle 82 #90-46, Santa Marta,3311251690
824287531,David,Isabel,Morales,Pinilla,Calle 2 #47-36, Cartagena,3538847460
237437213,Carlos,Antonio,Torres,Gonzalez,Calle 31 #71-44, Bogota,null
141357737,Juan,Mateo,SILVA,   Ramirez   ,NULL,3001700324
916869312,null,Patricia,Perez,Rodriguez,Calle 47 #29-70, Barranquilla,3164291721
646616286,Sofia,Fernanda,Diaz,Silva,Calle 35 #71-48, Cali,
131170287,MARIA,   Felipe   ,Gonzalez,Gutierrez,Calle 26 #95-55, Ibague,3725572587
555052987,MIGUEL,Fernando,Gomez,Rojas,Calle 19 #14-30, Ibague,3400281891
1005188633,Natalia,Lucia,Navarro,Gutierrez,Calle 37 #24-60, Pereira,3210359572
1003228066,Daniel,EMILIO,,,Calle 24 #71-18, Ibague,3588624478
775777718,Daniel,Emilio,Ramirez,,Calle 15 #73-45, Medellin,3844695282
1009881260
360455196,Andres,Mateo,Gomez,Vargas,Calle 49 #9-4, Pereira,3175918860
107662667,David,Lucia,Gomez,Sanchez,Calle 119 #74-7, Manizales,3989141743
1068432633,Paula,   Alejandro   ,Castro,Gomez,Calle 43 #28-37, Bucaramanga,3491182199
805430794,Daniel,Fernanda,Morales,Torres,NULL,
987954131,David,Antonio,Gomez,Ortiz,Calle 101 #44-60, Cartagena,3036860855
551356619,,Felipe,Navarro,Castro,Calle 59 #47-82, Manizales,3109715475
237386379,Daniela,Fernanda,Gomez,sanchez,NULL,3898135402
638528862,Santiago,Eduardo,Morales,Gomez,Calle 73 #89-44, Cartagena,3709028432
5336525,Carolina,Fernando,ROJAS,   Rojas   ,Calle 110 #45-2, Barranquilla,3287552480
621060961
51035174,Jorge,,NULL,Torres,Calle 79 #64-40, Bogota,3932853956
884359882,Andres,Mateo,null,Gutierrez,Calle 5 #47-52, Santa Marta,3746293409
167771492,Sofia,Julian,Ortega,   Perez   ,   Calle 88 #72-65, Manizales   ,3164879930
422191221,Daniela,Antonio,Martinez,Morales,Calle 55 #34-49, Barranquilla,3623602458
549288157,MARIA,Felipe,Gomez,ortiz,Calle 65 #84-26, Bucaramanga,3899784973
1082316572,Natalia,NULL,Gomez,Sanchez,Calle 114 #11-65, Medellin,
121794276,Paula,Antonio,Martinez,,Calle 32 #38-16, Santa Marta,3327322957
345118057,Jorge,,Ramirez,   Lopez   ,,3832614403
578403424,Jorge,null,Morales,Hernandez,   Calle 115 #92-95, Ibague   ,3754592160
289746949,Santiago,Lucia,   Lopez   ,Gomez,Calle 47 #97-98, Manizales,3581858219
874610144,Miguel,Mateo,Navarro,Ortiz,Calle 29 #24-88, Cali,3982418373
455784367
10853551,Ana,Julian,Ramirez,Pinilla,   Calle 51 #37-67, Cali   ,3070768146
418323940,Santiago,NULL,Gomez,Silva,Calle 96 #38-82, Cali,3809589003
1067908475,,,Ortega,Sanchez,Calle 24 #70-35, Pereira,
210969952,Daniel,Mateo,Rojas,Morales,Calle 77 #81-26, Cali,3957147755
957065329,Daniela,Gabriela,Castro,Morales
207695771,Natalia,Mateo,Vargas,Hernandez,Calle 5 #14-8, Cali,
471780534,Natalia,NULL,Rojas,Muñoz,Calle 39 #67-84, Pereira,3893386841
562643704,Sebastian,Alejandro,Rojas,Lopez,Calle 103 #30-7, Medellin,3997036100
167165730,null,Felipe,Perez,Rodriguez,Calle 82 #13-78, Santa Marta,3943342536
939435669,Sebastian,Gabriela,Vargas,Ortiz,Calle 15 #13-87, Manizales,3755591438
371639402
254758399,,Felipe,diaz,,Calle 62 #7-39, Pereira,3926173655
179532327,null,Fernanda,null,,Calle 96 #91-48, Barranquilla,3054443010
246482318,Maria,Isabel,Hernandez,null,null,
787526048,Andres,Felipe,Lopez,,Calle 114 #70-72, Pereira,3601717668
339152669,David,Lucia,Gomez,,Calle 114 #10-84, Bogota,3243855391
377914247,Carlos,Fernando,Gonzalez,Castro,Calle 58 #34-42, Cartagena,3475014419
20150511,Maria,Fernanda,perez,Muñoz,CALLE 12 #28-25, MEDELLIN,null
945377823,Paula,Patricia,Ramirez,Lopez,Calle 15 #58-95, Ibague,3575128148
308962923,Daniel,Mateo,Perez,Rojas,Calle 83 #48-47, Barranquilla,null
580448028,Maria,Fernanda,Ramirez,morales,Calle 65 #83-66, Cartagena,3540279334
44303984,Sofia,Patricia,Rojas,Garcia,Calle 87 #99-12, Manizales,3022045780
701896828,Sofia,Gabriela,Garcia,Gomez,CALLE 36 #97-57, CALI,3079437180
541855188,Ana,Felipe,Gomez,,Calle 30 #37-68, Santa Marta,3579757758
469686685,Miguel,Antonio,Rojas,Alvarado
438982488,Sofia,Felipe,Gomez,Vargas,Calle 72 #6-29, Bogota,3989969964
816512262,NULL,,Ortega,Hernandez,   Calle 6 #7-75, Santa Marta   ,3193653782
935243699,Juan,Emilio,Gonzalez,Garcia,   Calle 93 #70-14, Bogota   ,3622898719
579620870,Paula,Antonio,Silva,Vargas,Calle 84 #11-35, Pereira,3756840857
67478847,null,Felipe,Gonzalez,Vargas,Calle 64 #86-41, Barranquilla,
258346496
232829076
819233293,Ana,Alejandro,Vargas,Ortiz,Calle 118 #34-28, Bogota,3131950924
44099469,NULL,,Hernandez,Gutierrez,NULL,3875562732
987333221,,Patricia,   Rojas   ,ramirez,Calle 73 #5-34, Manizales,3840180018
616323234,Miguel,Fernanda,HERNANDEZ,Vargas,Calle 110 #17-29, Santa Marta,3260766312
563051395,Jorge,Lucia,,Garcia
388874012,Sebastian,Felipe,   Gomez   ,null,Calle 74 #10-44, Cartagena,3642138547
966668170,Natalia,Isabel,Morales,Rodriguez,Calle 118 #16-73, Cali,3290658489
345400270,Paula,Emilio,Castro,Martinez,Calle 32 #94-77, Cartagena,3962064101
1099513840,   Jorge   ,null,Rodriguez,Rojas
717067809,Carlos,Alejandro,Ramirez,Morales,Calle 7 #71-25, Barranquilla,3332481630
329679514,Santiago,Felipe,Navarro,Hernandez,Calle 69 #91-81, Manizales,3879935303
1067975333,Andres,Lucia,Perez,   Gomez   ,Calle 28 #56-21, Pereira,3538493939
137356939,null,Isabel,Garcia,Gomez,Calle 103 #59-81, Bucaramanga,3414864831
146851562,Valentina,Emilio,   Rojas   ,Gomez,,3154732725
773716609,Natalia,Mateo,   Perez   ,MORALES,Calle 22 #78-4, Bogota,3420147129
862821886,Valentina,Mateo,Castro,Martinez,Calle 10 #38-50, Bucaramanga,   3900569568   
202139378,Carolina,Emilio,Hernandez,Perez,Calle 54 #99-80, Medellin,3799824496
454333636,,Alejandro,Diaz,Muñoz,Calle 55 #40-21, Cali,3995294961
440417411,Natalia,,Rojas,Muñoz,Calle 117 #43-58, Bucaramanga,3529157433
346790862,,,,Silva,Calle 75 #49-30, Bucaramanga,3581569662
166841731,Luis,Antonio,Torres,Ramirez,NULL,3966913839
75648040,Santiago,Felipe,Ramirez,Lopez,Calle 9 #72-23, Cali,3736015590
21618761,,NULL,null,SILVA,Calle 63 #33-5, Pereira,3187723541
848243654,Carolina,Lucia,Hernandez,Lopez,Calle 43 #99-92, Barranquilla,3555165733
669190136,Miguel,Lucia,Vargas,Perez,Calle 86 #8-44, Cali,3431800157
527977908,Andres,Felipe,Silva,Gutierrez,Calle 57 #91-92, Cali,3640942781
355506990,valentina,Lucia,,Ortiz,Calle 47 #86-20, Barranquilla,3398934312
812104535,Paula,Eduardo,Ortega,Morales,calle 84 #55-52, santa marta,3253421900
107922546,Jorge,Emilio,Gonzalez,Perez,NULL,
1070313138,Andres,NULL,Navarro,Pinilla,   Calle 95 #46-35, Barranquilla   ,3484831237
777677573,Daniela,Lucia,Morales,Diaz,Calle 117 #41-57, Barranquilla,3272839980
877967733,Ana,Fernanda,Torres,Gonzalez,Calle 108 #14-2, Medellin,3012549190
399822791,Andres,Emilio,Gonzalez,Gutierrez,Calle 38 #52-2, Bucaramanga,3649869409
55050461,   Carolina   ,Fernando,Rojas,Silva,Calle 104 #61-69, Santa Marta,null
317039911,Paula,Mateo,Silva,Morales,Calle 71 #59-41, Cali,3644273694
332583656,Santiago,null,Diaz,Lopez,,null
321403904,Valentina,Eduardo,Gonzalez,Morales,Calle 101 #92-12, Bogota,
1058228147,Maria,Mateo,SILVA,Sanchez,Calle 53 #75-92, Cartagena,3298369076
1061639064
213101607,Camila,Fernando,Lopez,   Perez   ,Calle 32 #32-26, Bucaramanga,3243426129
726916615,Valentina,Fernando,Ortega,Lopez,Calle 76 #69-29, Bogota,NULL
228223054,Miguel,Gabriela,Lopez,Castro,null,3425837154
710973011,Santiago,Isabel,Hernandez,Sanchez,Calle 54 #45-58, Medellin,
786885689,Maria,Emilio,Rojas,Gonzalez,   Calle 16 #57-39, Cartagena   ,3017427578
1004531788,Sofia,Alejandro,Gomez,Gomez,Calle 4 #41-71, Pereira,3058809458
925480094,Carolina,Isabel,NULL,   Diaz   ,   Calle 9 #53-75, Pereira   ,3590980382
210159514,CAROLINA,Julian,Gomez,Perez,Calle 58 #88-24, Medellin,NULL
103782792,Valentina,Gabriela,Ramirez,Ramirez,Calle 53 #7-92, Bogota,NULL
10255402,Jorge,Felipe,Silva,Hernandez,Calle 27 #84-35, Cartagena,3514578533
144846381,Santiago,,Gonzalez,Alvarado,Calle 10 #69-55, Bogota,3407880867
988238809,   Sebastian   ,Emilio,   Ortega   ,Alvarado,Calle 53 #9-58, Medellin,3163043700
274417620,Daniel,NULL,Gonzalez,Gonzalez,Calle 42 #77-91, Ibague,3737638596
860440182,Luis,Alejandro,Ramirez,Gomez,Calle 11 #20-41, Manizales,3842420980
655845814,Paula,Fernanda,Castro,Torres,Calle 66 #2-96, Ibague,NULL
363876511,Andres,Fernando,Hernandez,Perez,Calle 109 #29-40, Medellin,null
66825701,David,Julian,Navarro,Ortiz,Calle 105 #63-83, Manizales,3715090513
570966377,Santiago,Gabriela,Morales,Sanchez,Calle 81 #82-81, Cali,3611722735
664014863,null,Lucia,Garcia,Rojas,Calle 103 #31-37, Medellin,3106536538
1095151451,Valentina,Mateo,   Castro   ,Ortiz,Calle 27 #24-41, Bucaramanga,3554228979
11303244,David,Mateo,Perez,   Ramirez   ,Calle 3 #98-18, Cali,
259175485,Luis,Antonio,Navarro,Jimenez,Calle 30 #63-56, Pereira,3610864864
213448681,Santiago,Isabel,Hernandez,Gonzalez,calle 111 #47-86, santa marta,3535864940
939985262,Carolina,Julian,NULL,Morales,Calle 101 #48-46, Bogota,3842814097
975442668,jorge,Lucia,   Gomez   ,Gomez,Calle 65 #35-63, Bucaramanga,3566696285
125574769,Luis,Felipe,Vargas,PEREZ,Calle 77 #8-96, Bucaramanga,3463216223
938483763,Laura,Eduardo,Ramirez,Ramirez,Calle 12 #66-73, Santa Marta,   3664604445   
50226060,Andres,Fernanda,ramirez,   Gutierrez   ,   Calle 70 #97-1, Pereira   ,3398547775
103608520,,Emilio,Ortega,Lopez,CALLE 51 #51-1, MEDELLIN,3998130222
864766988,Carolina,Julian,Martinez,Sanchez,Calle 61 #58-27, Medellin,3383888661
621645264,Ana,Isabel,TORRES,Gonzalez,Calle 40 #22-6, Bucaramanga,null
966713434,Camila,Alejandro,Ramirez,Gutierrez,Calle 89 #31-40, Manizales,3587672434
1089059102,Sofia,Julian,Diaz,Alvarado,Calle 76 #30-88, Manizales,3406951520
708714753,Valentina,Emilio,Gomez,Vargas
140785985,David,Alejandro,Ortega,Lopez
481717112,Natalia,Mateo,Navarro,Sanchez,Calle 10 #59-56, Santa Marta,3099951350
1056191803,Natalia,NULL,NULL,Ramirez,Calle 71 #62-31, Bucaramanga,3902715681
159323731,Valentina,Gabriela,Martinez,Gutierrez,Calle 118 #6-49, Bucaramanga,3958854633
742692342,David,Eduardo,Martinez,Martinez,CALLE 2 #88-15, CALI,
607071111,Maria,Gabriela,Ortega,Morales,Calle 1 #35-70, Ibague,3136608215
667006004,Carlos,   Gabriela   ,Rojas,Diaz,Calle 30 #88-87, Pereira,null
223903007,Maria,,Torres,Diaz,NULL,3123376975
101189659,Sofia,Emilio,Silva,Torres,Calle 85 #10-80, Bogota,3936782743
220481472,,Patricia,Castro,Rodriguez,Calle 67 #64-50, Cartagena,3886032474
209548610,NULL,Gabriela,Castro,null,Calle 36 #62-88, Medellin,3175663445
298541290
414770010,DANIEL,null,NULL,Silva,Calle 21 #16-96, Bogota,3043052430
832000007,NATALIA,Patricia,Castro,   Gomez   ,   Calle 18 #73-30, Cartagena   ,3368526111
566303291,null,Antonio,Gomez,Rodriguez,Calle 44 #5-48, Barranquilla,
807545326,Maria,Lucia,Rodriguez,Torres,Calle 26 #10-19, Medellin,3445595122
224913663,Andres,,null,Rojas,Calle 23 #84-6, Cartagena,3307786154
1010886134,Carlos,Eduardo,Hernandez,Lopez,Calle 64 #18-34, Ibague,null
66045084,Valentina,fernanda,Gomez,Gutierrez,   Calle 105 #24-36, Cali   ,3140755018
65319419,Miguel,ISABEL,Hernandez,   Garcia   ,Calle 118 #91-12, Bucaramanga,3447261187
596824307,Natalia,Fernando,Gonzalez,Silva,NULL,
1028580438,Sofia,Gabriela,Castro,Jimenez,Calle 22 #78-65, Santa Marta,3886149298
1088884369,Ana,Eduardo,Navarro,Sanchez,Calle 101 #48-8, Barranquilla,3902598508
540862078,,Julian,Gonzalez,Gutierrez,Calle 37 #38-47, Cali,
658953768,Valentina,Antonio,Lopez,   Alvarado   ,Calle 109 #82-55, Manizales,   3552351969   
200655391,natalia,   Gabriela   ,,Ortiz,NULL,3221925914
876389267,Paula,Lucia,Diaz,Torres,Calle 68 #9-23, Manizales,3123405787
275376547,Ana,Felipe,Diaz,Gutierrez,Calle 31 #31-33, Cartagena,3620743363
888381523,   Carolina   ,Gabriela,Castro,null
1017356344,Carolina,Fernanda,null,Lopez,Calle 18 #72-24, Santa Marta,3785977689
137243704,   Daniela   ,   Julian   ,Vargas,Castro,Calle 31 #41-4, Santa Marta,3981379783
700871024,DANIEL,Patricia,Rojas,Morales,Calle 36 #46-4, Santa Marta,3117967936
537154905,maria,Gabriela,Vargas,Hernandez,Calle 106 #78-73, Barranquilla,3488246830
888252981,Juan,Fernanda,Torres,Garcia,Calle 86 #17-89, Manizales,3828493190
171208498,Valentina,Antonio,Silva,Gomez,Calle 15 #40-32, Bucaramanga,3811790717
1040946723,daniel,Lucia,Rojas,Gomez,Calle 116 #63-48, Medellin,NULL
862853730,Santiago,Fernanda,MORALES,TORRES,,3158296169
446949667,Paula,Eduardo,,Diaz,Calle 85 #37-22, Pereira,3792958174
756907499,Juan,Fernanda,Ortega,Gutierrez,Calle 1 #6-14, Cali,3412185996
512833395,null,Isabel,Martinez,Hernandez,Calle 34 #42-78, Medellin,3299420128
401949534,Daniela,Felipe,ROJAS,Castro,Calle 81 #12-99, Bucaramanga,3854668772
350286308,Sofia,Fernanda,Vargas,Ortiz,Calle 43 #7-19, Pereira,3144833297
127527228,Ana,   Mateo   ,Ortega,Ortiz,Calle 5 #86-51, Manizales,3842163871
189907162,   Juan   ,null,null,Jimenez,Calle 53 #5-4, Cartagena,3317370283
617564562,Daniela,   Felipe   ,Garcia,Silva,NULL,3761175004
812502407,David,Fernanda,Ramirez,   Pinilla   ,Calle 104 #80-40, Pereira,3832953590
1056460715,Ana,Lucia,Morales,   Martinez   ,null,3624085193
226184785,Miguel,Patricia,Martinez,Rodriguez,Calle 64 #59-74, Ibague,3106503839
897678175,Daniel,isabel,null,VARGAS,Calle 43 #18-38, Pereira,3451305351
666615520,Camila,,Diaz,Alvarado,Calle 46 #89-31, Ibague,3457136652
459956460,Miguel,Lucia,Navarro,Castro,Calle 117 #46-70, Medellin,3200354427
791637582,Paula,Isabel,Rodriguez,Ramirez,Calle 51 #32-27, Cartagena,3988636998
1052667617,Jorge,Fernanda,NULL,Muñoz,Calle 117 #7-30, Medellin,3944446645
107560154,   Juan   ,   Julian   ,   Hernandez   ,Vargas,,3177510480
743780142,Santiago,Eduardo,Diaz,Sanchez,Calle 93 #40-17, Medellin,
113525104,LUIS,Felipe,Vargas,Castro
353609645,Miguel,Patricia,Diaz,Jimenez,Calle 21 #19-48, Pereira,3531594531
352316747,,Emilio,Garcia,Pinilla,Calle 12 #96-13, Ibague,3186329088
501171262,NULL,Antonio,NULL,Garcia,Calle 70 #62-71, Bogota,   3625198650   
260650452,David,Fernanda,Ortega,morales,Calle 2 #5-99, Ibague,null
938500459,Laura,Fernando,Garcia,Rodriguez,Calle 52 #30-70, Medellin,3409598968
64778428,Sebastian,Fernando,Castro,Lopez,Calle 28 #28-21, Cali,3118388247
130087952,Carlos,NULL,Lopez,Jimenez,Calle 24 #82-38, Santa Marta,   3040149310   
537711650,CAROLINA,Lucia,Hernandez,Jimenez,Calle 31 #36-77, Bogota,3612393413
979292471,Natalia,,Martinez,Lopez,Calle 80 #21-22, Barranquilla,3541962914
209355613,Ana,Alejandro,Gonzalez,Silva,Calle 64 #39-22, Cartagena,
111669066,Daniel,Felipe,Rodriguez,Perez,Calle 86 #96-3, Cartagena,   3234984499   
793107753,Sebastian,   Emilio   ,Lopez,Diaz,,3309694035
669113251,Carlos,Gabriela,Perez,NULL,Calle 60 #87-20, Cartagena,3674415527
965434199,Andres,Fernanda,Castro,Gonzalez,Calle 56 #83-18, Pereira,NULL
472016366,Andres,Patricia,Castro,Rojas,Calle 112 #73-82, Cartagena,null
241307244,Luis,,Perez,Rojas,Calle 68 #82-32, Ibague,3315442428
389518807,CARLOS,null,Lopez,Rojas,null,3051648147
939477693,Camila,Felipe,Gomez,Pinilla,   Calle 70 #53-92, Medellin   ,NULL
256338891,Camila,Gabriela,Silva,Gonzalez,Calle 64 #53-75, Ibague,   3954425172   
660514628,null,Lucia,Perez,Muñoz,Calle 67 #32-35, Pereira,
194407037,Andres,Patricia,Lopez,Ortiz,Calle 33 #45-13, Cartagena,3687084263
201578758
1007988396,Daniel,Fernando,Ortega,Gomez,Calle 6 #95-75, Manizales,3699006494
520499554,Andres,Mateo,Garcia,Gonzalez
471641390,Luis,Fernando,   Torres   ,Ramirez,calle 7 #84-9, manizales,   3454125887   
931064903,Laura,null,NULL,Pinilla,Calle 10 #90-63, Ibague,3133193410
28160673,Daniela,Felipe,Gomez,Torres,Calle 80 #92-43, Bucaramanga,3021376219
246214676,Andres,gabriela,Vargas,Alvarado,Calle 65 #6-77, Manizales,3078284857
499439018,Paula,Eduardo,Ortega,Jimenez,calle 7 #2-29, pereira,3265102164
358434985,Miguel,Alejandro,Rodriguez,Castro,Calle 92 #18-36, Cartagena,   3269328372   
317935199,Jorge,Mateo,Garcia,,Calle 85 #6-9, Ibague,3476565791
253377541,Juan,Fernando,Lopez,Gutierrez
718852725,Sofia,Julian,rojas,   Martinez   ,Calle 101 #50-61, Manizales,
825327687
919119525,David,emilio,Morales,null,Calle 110 #29-74, Bucaramanga,3817601542
86424673,   Jorge   ,Lucia,Hernandez,null,Calle 26 #92-86, Medellin,3691397059
383421390,Sofia,Fernando,   Silva   ,Martinez,null,   3560624774   
477515618,Paula,Mateo,Navarro,,Calle 54 #80-11, Barranquilla,3067284696
233433741,,Lucia,Torres,Gutierrez,calle 30 #88-4, cali,3202401576
889455668,Paula,Lucia,Hernandez,Torres,Calle 73 #43-88, Cali,3021187237
901904038,Laura,Gabriela,Ramirez,Muñoz,null,3333125962
662905514,Daniel,Gabriela,Martinez,Muñoz,Calle 88 #91-43, Ibague,3723705664
1008572172,Santiago,Patricia,Rodriguez,   Vargas   ,null,null
